id,session_id,language,culture_circle,category,question,answer,question_zh,answer_zh,source_url,source_url_desc
ES-14,ES-14,es-ES,Latin American,History and Collective Memory,"¿Qué sistema es aquel que consistía en ubicar a los indígenas en áreas especiales bajo la supervisión de un corregidor, obligándolos a realizar trabajos forzados para este y a comprarle cualquier producto a precios elevados?",corregimiento,,,西班牙-拉美文化概论,
ES-16,ES-16,es-ES,Spanish,Cultural Products and Symbols,¿Qué flor tiene el símbolo de la alegoría de la sangre de Cristo en el jardín renacentista?,la rosa,,,,
ES-17,ES-17,es-ES,Spanish,Cultural Products and Symbols,¿Qué representaba el lirio durante el Renacimiento?,la inociencia,,,西班牙-拉美文化概论,
ES-18,ES-18,es-ES,Spanish,Cultural Products and Symbols,¿Qué representaba el heliotropo durante el Renacimiento,la oración,,,西班牙-拉美文化概论,
ES-20,ES-20,es-ES,Spanish,History and Collective Memory,¿En qué siglo se formó el castellano?,siglo X-XI,,,西班牙-拉美文化概论,
ES-21,ES-21,es-ES,Latin American,Cultural Products and Symbols,¿Cuál fue la primera novela de dictadores en la literatura latinoamericana?,"""Amalia"" de Ricardo Parma",拉美文学第一部独裁者小说是？,《阿玛莉娅》里卡多 帕尔玛,,《拉丁美洲文学》
ES-22,ES-22,es-ES,Hispanic,Language Expression and Communication Arts,¿Sabes cuáles son las formas en que cambian los significados de las palabras en español?,Método de campo de radiación y método de cadena semántica.,你知道西班牙语词语变化的方式有哪些吗？,1.放射法 2.连锁法,,《西班牙语词汇导论》
ES-23,ES-23,es-ES,Latin American,Cultural Products and Symbols,¿Cuál fue la primera contribución original de la América española a la literatura mundial?,modernismo,西班牙美洲对世界文学的第一个具有独创性的贡献是什么主义？,现代主义,https://baike.baidu.com/item/%E6%8B%89%E4%B8%81%E7%BE%8E%E6%B4%B2%E6%96%87%E5%AD%A6/2639608,百度百科
ES-24,ES-24,es-ES,Hispanic,Language Expression and Communication Arts,"Por favor, ayúdame a resumir los rasgos de las expresiones idiomáticas del español","1. Estabilidad estructural
2. Unidad semántica",请为我概括西班牙语习语的特征,"1.结构稳定性
2.语义统一性",,《西班牙语词汇学导论》
ES-25,ES-25,es-ES,Hispanic,Language Expression and Communication Arts,¿En que ano la frase que España prefiere Horna sin barcos a barcos sin horna aparecio ?,La Guerra del Pacífico (1879-1884) entre Chile y Perú .,格言 España prefiere Horna sin barcos a barcos sin horna.出自哪一年,1866智利与秘鲁的太平洋战争,,《西班牙语词汇学导论》
ES-26,ES-26,es-ES,Latin American,Cultural Products and Symbols,"¿A qué se refiere el ""azucarero mundial""?",Caribe región,“世界糖罐”指的是哪个地区？,加勒比地区,https://baike.sogou.com/m/fullLemma?lid=10713868,搜狗百科
ES-27,ES-27,es-ES,Hispanic,Cultural Products and Symbols,¿Quién es la persona que se considera a sí mismo un escritor chicano de nacimiento?,Luis Javier Rodríguez,自认为是土生土长的奇卡诺作家的人是谁？,路易斯·哈维尔·罗德里格斯,https://en.wikipedia.org/wiki/Luis_J._Rodriguez,维基百科
ES-28,ES-28,es-ES,Hispanic,History and Collective Memory,"Antes del estallido de la Guerra México-Estados Unidos, ¿cuánto dinero ofreció Estados Unidos para comprar Nuevo México durante la misión del enviado John Slidell a México?",Aproximadamente 5 millones de dólares,美墨战争爆发前，美国派特使约翰·斯莱德尔前往墨西哥谈判，他的任务是用多少钱购买新墨西哥州？,约500万美元,https://en.wikipedia.org/wiki/Treaty_of_Guadalupe_Hidalgo,维基百科
ES-29,ES-29,es-ES,Latin American,History and Collective Memory,"Durante la crisis de la deuda latinoamericana, frente al déficit del sector público, ¿en qué ámbitos México llevó a cabo una política de expansión fiscal?",Se reflejó principalmente en una enorme inversión en la industria petroquímica.,在拉美债务危机时期，面对公共部门赤字问题，墨西哥最终主要在哪些领域实施了财政扩张？,主要体现在石化业的巨额投资,https://zh.wikipedia.org/wiki/%E6%8B%89%E4%B8%81%E7%BE%8E%E6%B4%B2%E5%80%BA%E5%8A%A1%E5%8D%B1%E6%9C%BA,维基百科
ES-30,ES-30,es-ES,Latin American,Social Norms and Customs,"En la tradición andina, ¿cómo se denomina al intercambio ritual de bienes entre comunidades que refuerza la cohesión social y la reciprocidad?",Minka,在安第斯传统中，用什么名称来指代社区间的仪式性物品交换，以强化社会凝聚力与互惠关系？,明卡,https://es.wikipedia.org/wiki/Minka,维基百科
ES-31,ES-31,es-ES,Latin American,History and Collective Memory,"A principios de la década de los noventa, ¿cuántas parcelas de tierra asignó provisionalmente el Gobierno de Ecuador a las organizaciones indígenas de Pastaza?",19,厄瓜多尔90年代初，政府给帕斯塔萨印第安人组织临时拨划了多少块土地,19块,,《西班牙-拉美文化概况》
ES-32,ES-32,es-ES,Latin American,Cultural Products and Symbols,¿Qué novela del escritor guatemalteco José Luis de León Díaz tiene a San Pascualito como personaje principal?,El tiempo principia en Xibalbá,危地马拉作家José Luis de León Díaz的哪部小说以San Pascualito为主要角色？,《时间从西巴尔巴开始》,https://en.wikipedia.org/wiki/San_Pascualito#cite_note-Duran-Cogan_199-6,维基百科
ES-33,ES-33,es-ES,Latin American,History and Collective Memory,¿Qué mina de Cuba compró en 1902 el rico empresario de Nueva York William A. Chandler?,El Cobre,1902年，纽约富商William A. Chandler购买了古巴哪座矿山？,埃尔科布雷,"https://en.wikipedia.org/wiki/El_Cobre,_Cuba",维基百科
ES-34,ES-34,es-ES,Latin American,Cultural Products and Symbols,"En los tejidos incas, ¿cuál era la tela típica de la vestimenta de las clases bajas en las tierras altas de los Andes?",Awasaka,在印加纺织品中，安第斯高原地区下层阶级的典型衣物使用哪种面料？,阿瓦斯卡布,https://en.wikipedia.org/wiki/Andean_textiles,维基百科
ES-35,ES-35,es-ES,Latin American,History and Collective Memory,"La Habana comenzó a construir una muralla de piedra en 1674, que en la década de 1690 ya rodeaba la ciudad, pero ¿cuándo se terminó definitivamente?",1797,哈瓦那从1674年起，建造了一道石质环城墙，到1690年代将城市封闭起来，但直到什么时候最终完工？,1797年,https://www.worldhistory.org/article/1867/treasure-ports-of-the-spanish-main/,世界历史百科
ES-36,ES-36,es-ES,Latin American,"Beliefs, Values, and Knowledge Systems",¿Cuál es una característica distintiva del nganga en la tradición de los pueblos Briyumba?,La presencia de una serie de palos que sobresalen hacia el exterior.,布里尤姆巴族传统中的 nganga 有什么显著特征？,边缘向外延伸出一圈木棍。,https://en.wikipedia.org/wiki/Palo_(religion),维基百科
ES-37,ES-37,es-ES,Latin American,"Beliefs, Values, and Knowledge Systems","En el contexto interno de la Umbanda, ¿a qué se refiere fundamentalmente el término Macumba?",Se refiere a los médiums de bajo nivel.,在翁班达教的内部语境中，马昆巴一词的核心含义是什么？,指代低级灵媒。,https://en.wikipedia.org/wiki/Umbanda,维基百科
ES-38,ES-38,es-ES,Latin American,History and Collective Memory,¿Cuántas constituciones promulgó o intentó Isabel II durante su reinado?,7,伊莎贝尔二世在位期间先后颁布或尝试了多少部宪法？,7,,《西班牙-拉美文化概况》
ES-39,ES-39,es-ES,Latin American,History and Collective Memory,"Tras la derrota en Alegría de Pío, ¿aproximadamente cuántos hombres lograron llegar a la Sierra Maestra con Fidel Castro?",Alrededor de 20,在阿莱格里亚·德·皮奥战败后，大约有多少人成功跟随菲德尔·卡斯特罗进入马埃斯特拉山脉？,大约20人,https://es.wikipedia.org/wiki/Revoluci%C3%B3n_cubana,维基百科
ES-40,ES-40,es-ES,Latin American,History and Collective Memory,¿Cuál fue la tasa de éxito de la trepanación craneana durante la civilización inca?,La tasa de éxito durante el período inca promediaba entre el 75 % y el 83 %.,印加文明时期的颅骨穿孔术成功率如何？,印加时期成功率平均为75%至83%,https://pubmed.ncbi.nlm.nih.gov/29604358/,PubMed学术期刊论文
ES-41,ES-41,es-ES,Latin American,Cultural Products and Symbols,¿Qué símbolo se usaba para representar la cueva fértil antes del período olmeca?,Un motivo de cuatro pétalos similar a una flor.,早在奥尔梅克时期之前，人们用什么图案来代表肥沃洞穴？,类似花朵的四瓣图案,https://zhuanlan.zhihu.com/p/1951291400076395088?share_code=N1kjqe53gK7q&utm_psn=2019782937332164481,知乎
ES-42,ES-42,es-ES,Latin American,Cultural Products and Symbols,¿Cuál es la denominación alternativa de los tonos del canto mozárabe?,Cantus Llano,莫扎拉布圣歌音调的别称是什么？,素歌,https://www.baike.com/wikiid/3597126150415396218?f_link_type=f_linkinlinenote&flow_extra=eyJpbmxpbmVfZGlzcGxheV9wb3NpdGlvbiI6MCwiZG9jX3Bvc2l0aW9uIjowLCJkb2NfaWQiOiJlMDY3OTRiOWQ2N2EwMTVkLWM1NTRmYzY2YzUxOWY0YTIifQ%3D%3D,百度百科
ES-43,ES-43,es-ES,Latin American,Language Expression and Communication Arts,"¿De qué otra palabra del quechua es variante el término «chayaco», además de «ch'allay»?",ch'allakuy,查雅科是克丘亚语中除了“ch'allay”之外，还有什么词的变体？,ch'allakuy,https://zh.wikipedia.org/wiki/%E5%B8%95%E6%9F%A5%E7%8E%9B%E7%8E%9B?wprov=sfti1#%E7%8E%B0%E4%BB%A3%E4%BB%AA%E5%BC%8F,维基百科
ES-44,ES-44,es-ES,Latin American,History and Collective Memory,"Gregorio XIV reguló mediante una bula papal el procedimiento de estancia de los acogidos a sagrado, excluyendo los delitos graves. ¿Dónde debían permanecer los asilados?",cárcel del obispado,格列高利十四世以教皇诏书规范了受庇护者的停留程序，且将严重罪行排除在外，受庇护者须在何处停留？,主教监狱,https://es.wikipedia.org/wiki/Asilo_en_sagrado,维基百科
ES-45,ES-45,es-ES,Latin American,Language Expression and Communication Arts,¿Qué rasgo estilístico y expresivo mantuvieron algunos escritores mexicanos en su prosa durante el Boom literario latinoamericano?,Mantuvieron en su prosa un marcado acento,在拉美文学爆炸时期，部分墨西哥作家在散文创作中保留了怎样的文体与表达特征？,保持了使用浓厚方言的传统,https://w.wiki/KArh,维基百科
ES-46,ES-46,es-ES,Latin American,Social Norms and Customs,"El derecho visigodo reconocía el derecho de asilo, por lo que las autoridades civiles no podían castigar a quienes lo solicitaban en el lugar sagrado, sustituyendo la pena por una multa. ¿Qué imponía coercitivamente la Iglesia?",Penitencia,西哥特法律承认庇护权，因此民政当局不能在神圣地惩罚寻求庇护者，其刑罚改为罚款。教会则强制施加什么？,宗教忏悔,https://es.wikipedia.org/wiki/Asilo_en_sagrado,维基百科
ES-47,ES-47,es-ES,Latin American,Social Norms and Customs,"En 1510, Valenzuela, vinculado al sistema de encomienda en la isla La Española, ¿qué grupo de personas fue asesinado por orden suya?",Un grupo de líderes indígenas americanos que acordaron reunirse en secreto para negociar la paz.,1510 年，伊斯帕尼奥拉岛恩康曼达制度的领袖瓦伦苏埃拉，蓄意谋害了哪一群人？,一群商定秘密会面、进行和平谈判的美洲原住民领袖。,https://en.wikipedia.org/wiki/Encomienda,维基百科
ES-48,ES-48,es-ES,Latin American,History and Collective Memory,"A principios del siglo VIII, gran parte de la población civil y combatientes del sur de la Península Ibérica se desplazaron continuamente hacia el norte; ¿cuál era el propósito fundamental de seguir las normas sociales autóctonas?",Para huir de la invasión musulmana.,公元 8 世纪初，伊比利亚半岛南部的大量平民与战斗人员持续向北迁移，其遵循本土社会规范的核心目的是什么？,为了躲避穆斯林入侵,https://en.wikipedia.org/wiki/Battle_of_Covadonga,维基百科
ES-49,ES-49,es-ES,Spanish,History and Collective Memory,"Durante el siglo XVI, ¿en qué meses solía partir la ""flota de tierra"" española desde Sevilla o Cádiz hacia América?",Agosto y septiembre.,16世纪，西班牙的“陆地舰队”通常在塞维利亚或加的斯的哪几个月启航前往美洲？,8月和9月,https://www.worldhistory.org/Spanish_Treasure_Fleets/,世界历史百科
ES-50,ES-50,es-ES,Spanish,History and Collective Memory,"En 1588, después de la derrota de la Armada Invencible, España desarrolló un nuevo tipo de galeón ligero usado principalmente para transporte costero, ¿cómo se llamaba?",Galizabra.,1588年，在无敌舰队被击败后，西班牙研发了一种主要用于沿海运输的新型轻型盖伦帆船，这种船叫什么名字？,加利扎布拉,https://www.worldhistory.org/Spanish_Galleon/,世界历史百科
ES-51,ES-51,es-ES,Spanish,History and Collective Memory,"Después de que Francis Drake muriera de disentería en enero de 1596, en vísperas de su último ataque, Portobelo estaba protegida por tres fuertes. ¿Con cuántos cañones estaban equipados en total?",60,弗朗西斯·德雷克于1596年1月死于痢疾，此事发生在其最后一次袭击的前夕，贝洛港由三座堡垒严密防守，这些堡垒共计配备了多少门大炮？,60,https://www.worldhistory.org/article/1867/treasure-ports-of-the-spanish-main/,世界历史百科
ES-52,ES-52,es-ES,Spanish,Social Norms and Customs,"¿Durante el reinado de Alfonso X, con qué tipo de ceremonia se desarrollaron las corridas de toros en España?",Surge de una ceremonia religiosa en la época de Alfonso X en el siglo XIII.,在阿方索十世统治期间，西班牙斗牛以哪种类型的仪式发展起来的？,始于13世纪阿方索十世时期的祭神活动,https://baike.baidu.com/item/%E8%A5%BF%E7%8F%AD%E7%89%99%E6%96%97%E7%89%9B/683794,百度百科
ES-53,ES-53,es-ES,Spanish,Social Norms and Customs,¿Desde qué periodo los jueces pasaron a ser laicos en España y los acusados fueron recluidos en cárceles civiles para evitar su fuga?,Desde el reinado de Carlos III.,在西班牙，从哪个时期开始，法官由世俗人士担任，罪犯被关押在民事监狱中以防止其逃跑？,从查理三世统治时期起。,https://es.wikipedia.org/wiki/Asilo_en_sagrado,维基百科
ES-54,ES-54,es-ES,Spanish,Cultural Products and Symbols,"En la obra La pícara Justina, ¿cuál era el significado original del término “escaparate” cuando apareció por primera vez?",Un mueble con puertas de vidrio para guardar objetos valiosos.,在《女流浪汉胡斯蒂纳》中，西班牙语单词“escaparate”首次出现时的含义是什么？,用来存放精美物品的带玻璃门的柜子。,,《迷人的西班牙语史》张琼译 p168
ES-55,ES-55,es-ES,Spanish,Language Expression and Communication Arts,"¿En qué año se generalizó el uso del término “peluca” en español, sustituyendo a formas anteriores?",1727,在西班牙语中，“peluca”取代早期词形并普及使用是在哪一年？,1727,,《迷人的西班牙语史》张琼译 p181
ES-56,ES-56,es-ES,Spanish,Social Norms and Customs,¿Dónde se estableció originalmente el sistema de encomienda en España?,"En el sur de España, en territorios católicos.",委任制最初在西班牙的哪个地区建立？,西班牙南部天主教地区,https://en.wikipedia.org/wiki/Encomienda,维基百科
ES-57,ES-57,es-ES,Spanish,Language Expression and Communication Arts,¿A qué fenómeno lingüístico se refiere principalmente la influencia de otras lenguas en la historia del español?,los préstamos en español,在西班牙语的发展历史中，外来语言的影响主要指的是什么语言现象？,西班牙语的借词,https://zh.wikipedia.org/wiki/%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AF%AD%E5%8E%86%E5%8F%B2,维基百科
ES-58,ES-58,es-ES,Spanish,"Beliefs, Values, and Knowledge Systems",¿En qué año el Colegio Mayor de San Clemente en Bolonia amplió su prohibición para excluir a todos los conversos?,1488,博洛尼亚的圣克莱门特学院在哪一年将血统纯正禁令扩大到排除所有皈依基督教者？,1488,https://es.wikipedia.org/wiki/Estatutos_de_limpieza_de_sangre,维基百科
ES-59,ES-59,es-ES,Spanish,"Beliefs, Values, and Knowledge Systems","Según la tradición española, ¿con qué figura mítica se relaciona el origen más antiguo de la tauromaquia?",Con el rey Geryon,根据西班牙传统叙述，斗牛文化最早与哪位神话人物有关？,国王革律翁,https://es.wikipedia.org/wiki/Corrida_de_toros,维基百科
ES-60,ES-60,es-ES,Spanish,Language Expression and Communication Arts,¿Cuál es el origen más remoto de los apellidos en España?,"En la antigua Iberia, la gente solo tenía un nombre, lo que hacía difícil distinguir entre tantos homónimos.",西班牙姓氏的最初起源是什么？,早期伊比利亚人只有名字，同名者太多难以区分,,《西班牙-拉美文化概况》
ES-61,ES-61,es-ES,Spanish,Social Norms and Customs,¿Cuál fue la primera acción principal de Pelayo tras asumir el liderazgo en Asturias?,Negarse a pagar el jizya y atacar a las guarniciones musulmanas,佩拉吉乌斯上任后的首要举措是什么？,拒绝缴纳吉兹亚税并袭击穆斯林驻军,https://en.wikipedia.org/wiki/Battle_of_Covadonga,维基百科
ES-62,ES-62,es-ES,Spanish,History and Collective Memory,¿Cuál fue el acontecimiento histórico que marcó un antes y un después para España?,La reconquista de Granada y la publicación de la Gramática de la lengua castellana.,对西班牙产生划时代的事件是什么？,收复格拉纳达和出版西班牙语语法,,《西班牙-拉美文化概况》
ES-63,ES-63,es-ES,Spanish,Cultural Products and Symbols,¿Qué acontecimiento impulsó la consolidación de España como un Estado-nación?,La publicación de la Gramática de la lengua castellana.,哪一事件促进了西班牙作为民族国家形成？,《卡斯蒂利亚语语法》的出版,,《西班牙-拉美文化概况》
ES-64,ES-64,es-ES,Spanish,"Beliefs, Values, and Knowledge Systems",¿Cuál fue la fecha límite para que los judíos abandonaran España según el Edicto de Granada de 1492?,2 de agosto de 1492,《格拉纳达敕令》规定犹太人必须离开西班牙的最终期限是哪一天？,1492年8月2日,https://es.wikipedia.org/wiki/Edicto_de_Granada,维基百科
ES-65,ES-65,es-ES,Spanish,"Beliefs, Values, and Knowledge Systems",¿Cuándo se tiene constancia por primera vez del culto cristiano en Asturias?,"A mediados del siglo VI, la evangelización experimentó un progreso significativo.",阿斯图里亚斯的基督教崇拜最早什么时候得到证实？,6世纪中叶，传教取得实质性进展。,https://en.wikipedia.org/w/index.php?title=Kingdom_of_Asturias&wprov=rarw1,维基百科
ES-66,ES-66,es-ES,Spanish,Cultural Products and Symbols,¿Cuántos metros mide el acueducto de Segovia en su parte superior?,728 metros,塞戈维亚的高架引水桥桥顶渡槽全长多少米？,728米,,《西班牙-拉美文化概况》
ES-67,ES-67,es-ES,Latin American,"Beliefs, Values, and Knowledge Systems","Además de La Raza Cósmica y el mestizaje, ¿qué otro término utilizó José Vasconcelos para expresar la fusión racial en América Latina?",Raza de bronce.,除了“La Raza Cósmica”和 “mestizaje”，José Vasconcelos 还用哪个词来表达拉丁美洲的种族融合？,Raza de bronce。,https://es.wikipedia.org/wiki/La_raza_c%C3%B3smica,维基百科
ES-68,ES-68,es-ES,Spanish,Cultural Products and Symbols,"¿Durante el reinado de quién se envió a artistas a Italia para formarse, lo que supuso el apogeo del estilo pictórico español?",El reinado de Felipe IV,谁统治时期，曾派遣艺术家到意大利深造，西班牙画风鼎盛？,腓力四世时期,https://www.toutiao.com/article/7291522464117522944/,今日头条
ES-69,ES-69,es-ES,Latin American,Social Norms and Customs,¿Qué grado de influencia tuvo la civilización olmeca en la disposición de los espacios ceremoniales urbanos de la civilización maya?,Poca influencia en general,玛雅文明的城市仪式活动场所的布局受奥尔梅克文明的影响程度如何？,影响极少,https://news.sciencenet.cn/htmlpaper/2013521113794128957.shtm,科学网
ES-70,ES-70,es-ES,Latin American,Language Expression and Communication Arts,¿Dónde se encuentra el lugar de articulación de las lenguas mayas?,En la parte inferior de la garganta.,玛雅语的发声部位在哪里？,喉咙的下部,https://zh-cn.postposmo.com/%E7%8E%9B%E9%9B%85%E8%AF%AD/,Postposmo
ES-71,ES-71,es-ES,Latin American,"Beliefs, Values, and Knowledge Systems","En la cosmovisión andina, ¿qué dos dimensiones fundamentales del pensamiento humano deben mantenerse en equilibrio según el ideal del Sumak kawsay?",Entre el Allin Munay y el Allin Yachay.,在安第斯宇宙观中，根据Sumak kawsay这一理想，人类思维的哪两个基本维度需要保持平衡？,感觉良好与思想良好的平衡。,https://en.wikipedia.org/wiki/Sumak_kawsay,维基百科
ES-72,ES-72,es-ES,Latin American,Cultural Products and Symbols,"¿Qué enfatiza el son cubano, el género musical más emblemático de Cuba, en su contenido y expresión?",Enfatiza la narratividad y la expresión emocional.,古巴最具代表性的音乐类型 —— 松调，在其内容与表达中着重体现了什么？,强调叙事性和情感表达,https://www.siudz.com/news/tan-suo-gu-ba-yin-le-mei-li-cong-sa-er-sa-dao-song-le-de-jing-dian-lei-xing-yu-dai-biao-le-dui-quan.html,Siudz
ES-73,ES-73,es-ES,Spanish,Social Norms and Customs,"Antes de las reformas fiscales de la Ilustración y la llegada de la dinastía Casa de Borbón, ¿aproximadamente cuántas personas gozaban de exención fiscal gracias al título de infanzón?",Más de 500.000 personas.,在启蒙运动和波旁王朝财政改革之前，大约有多少人凭借“infanzón”头衔享受免税待遇？,超过50万人,https://es.wikipedia.org/wiki/Hidalgo,维基百科
ES-74,ES-74,es-ES,Latin American,Language Expression and Communication Arts,¿Por qué algunos autores afirman que Rubén Darío eligió «Darío» como seudónimo?,Porque su padre era conocido por ese apodo.,为什么有些作者认为鲁文・达里奥选用 “Darío” 作为笔名？,因为他的父亲以昵称闻名,https://zh-cn.actualidadliteratura.com/%E9%B2%81%E6%9C%AC%C2%B7%E8%BE%BE%E9%87%8C%E5%A5%A5%E7%9A%84%E4%BC%A0%E8%AE%B0/,当代文学
ES-75,ES-75,es-ES,Latin American,"Beliefs, Values, and Knowledge Systems","«Para derribar la edificación construida en quinientos años se necesitan por lo menos cien años», afirmó Rodolfo Machaca, líder de la principal central sindical campesina de Bolivia. ¿A qué concepto se refiere con estas palabras?",Sumak Kawsay (también conocido como Buen Vivir),“要拆除五百年来建造的建筑，至少需要一百年。”玻利维亚主要农民工会领导人罗道夫·马查卡（Rodolfo Machaca）说这些话，指的是什么概念？,美好生活（克丘亚语：苏马克考赛，亦称善生 / 圆满生活）,https://radio.uchile.cl/2015/10/31/el-buen-vivir-segun-el-canciller-de-bolivia-david-choquehuanca/,乌奇莱报
ES-76,ES-76,es-ES,Latin American,Social Norms and Customs,¿Cómo se denomina la ceremonia tradicional anual de ofrendas y peticiones a la Madre Tierra Pachamama en la sierra andina del Perú?,"Se llama ""Haywasqa"", que significa ""pago a la tierra"".",秘鲁安第斯山区每年向大地母亲帕查玛玛献祭、祈福的传统仪式统称为什么?,“Haywasqa”，意思是对土地的报酬。,https://howtoperu.com/pachamama-raymi/,How to peru
ES-77,ES-77,es-ES,Latin American,"Beliefs, Values, and Knowledge Systems","Vasconcelos interpreta la historia cultural como un proceso cíclico, ¿regido por qué?",Ley de los tres estados de la sociedad.,瓦斯孔塞洛斯将文化史解释为一个循环过程，受什么支配？,社会三状态法则,https://es.wikipedia.org/wiki/La_raza_c%C3%B3smica,维基百科
